job_title,location,industry,employment_type,tone,salary_min,salary_max,currency,keywords,benefits,summary,created_at,status,uuid
AI Governance Specialist,"Lisbon, Portugal",Artificial Intelligence,Full-time,corporate,71415,114264,EUR,"ai, governance, compliance","Health and dental insurance, Retirement savings plan, Paid time off, Ongoing training and development","Seeking an experienced AI Governance Specialist in Lisbon, Portugal with expertise in ai, governance, compliance.",2025-10-05T01:51:32.681653+00:00,new,b2ca5b41-0eaf-4d84-afa0-88ceae66b167
AI Product Manager,"Lisbon, Portugal",Artificial Intelligence,Full-time,corporate,69785,111656,EUR,"ai, product, management","Medical and dental insurance, 401(k) with company matching, Flexible PTO policy, Learning and development budget, Remote work opportunities","Seeking an experienced AI Product Manager in Lisbon, Portugal with expertise in ai, product, management.",2025-10-05T01:51:32.681653+00:00,new,e157b1b0-86cd-42e7-a8d1-1b0e3fc23eca
AI Trainer,"Lisbon, Portugal",Artificial Intelligence,Full-time,corporate,71335,114136,EUR,"ai, training, technology","Medical and dental insurance, 401(k) with company matching, Flexible PTO policy, Learning and development budget, Remote work opportunities","Seeking an experienced AI Trainer in Lisbon, Portugal with expertise in ai, training, technology.",2025-10-05T01:51:32.681653+00:00,new,398d81c2-ae10-4c0b-a9c0-304c8765515a
Carbon Emissions Analyst,"Lisbon, Portugal",Environmental Services,Full-time,corporate,47627,76203,EUR,"sustainability, environment, analytics","Health and wellness programs, Retirement savings plan, Flexible working hours, Professional development opportunities","Seeking an experienced Carbon Emissions Analyst in Lisbon, Portugal with expertise in sustainability, environment, analytics.",2025-10-05T01:51:32.681653+00:00,new,e9d6f63a-13e8-477a-831e-d38e723407f3
Climate Change Analyst,"Lisbon, Portugal",Environmental Services,Full-time,corporate,48231,77169,EUR,"environment, climate, analytics","Health and wellness programs, Retirement savings plan, Flexible working hours, Professional development opportunities","Seeking an experienced Climate Change Analyst in Lisbon, Portugal with expertise in environment, climate, analytics.",2025-10-05T01:51:32.681653+00:00,new,e6c55b3a-d6d1-41bd-a443-ccfb105b9f44
Cloud Architect,"Lisbon, Portugal",Information Technology,Full-time,corporate,70513,112821,EUR,"cloud, architecture, technology","Health and wellness programs, Retirement savings plan, Flexible working hours, Professional development opportunities","Seeking an experienced Cloud Architect in Lisbon, Portugal with expertise in cloud, architecture, technology.",2025-10-05T01:51:32.681653+00:00,new,6fa80ec6-14dd-4c33-aaee-48ecf166704e
Cloud Security Specialist,"Lisbon, Portugal",Cybersecurity,Full-time,corporate,71197,113916,EUR,"security, cloud, technology","Comprehensive medical and dental coverage, Retirement savings plan, Flexible schedule and remote options, Professional development and certification support, Well-being and mental health initiatives","Seeking an experienced Cloud Security Specialist in Lisbon, Portugal with expertise in security, cloud, technology.",2025-10-05T01:51:32.681653+00:00,new,0a146901-e9c9-4867-b7f6-7e752beb74b7
Compliance Officer,"Lisbon, Portugal",Legal & Compliance,Full-time,corporate,52491,83985,EUR,"compliance, legal, business","Health and dental insurance, Retirement savings plan, Paid time off, Ongoing training and development","Seeking an experienced Compliance Officer in Lisbon, Portugal with expertise in compliance, legal, business.",2025-10-05T01:51:32.681653+00:00,new,caa4f691-d61d-4394-81e7-6117cbac8874
Corporate Social Responsibility Manager,"Lisbon, Portugal",Corporate Social Responsibility,Full-time,corporate,62150,99440,EUR,"csr, sustainability, management","Comprehensive medical and dental coverage, Retirement savings plan, Flexible schedule and remote options, Professional development and certification support, Well-being and mental health initiatives","Seeking an experienced Corporate Social Responsibility Manager in Lisbon, Portugal with expertise in csr, sustainability, management.",2025-10-05T01:51:32.681653+00:00,new,9033d217-b160-4af4-8e76-5033023e31fb
Customer Experience Designer,"Lisbon, Portugal",Customer Experience,Full-time,corporate,49650,79440,EUR,"customer, design, experience","Medical and dental insurance, 401(k) with company matching, Flexible PTO policy, Learning and development budget, Remote work opportunities","Seeking an experienced Customer Experience Designer in Lisbon, Portugal with expertise in customer, design, experience.",2025-10-05T01:51:32.681653+00:00,new,3ed028fd-2a98-44e9-8ee5-264f07ad4203
