id	job_title	job_description	link	job_title_norm	location	job_date	date	rn
4188	ING Hubs Romania angajează Java Engineer - SEPA 2	10 hours ago — ING Hubs Romania offers 130 services in software development, data management, non-financial risk & compliance, audit, and retail operations to 24 ING units ...	https://ro.linkedin.com/jobs/view/java-engineer-sepa-2-pss-%40ing-hubs-ro-at-ing-hubs-romania-4312559243	Software	Amsterdam	20251009	2025-10-09 20:32:25.749+02	1
4189	Senior Industrial Designer - Hyderabad, Telangana, India	7 hours ago — Speriti Solutions is an Information Technology Company with headquarters in Texas and offices in Toronto, Amsterdam, and Hyderabad. Specializing in ...	https://in.linkedin.com/jobs/view/senior-industrial-designer-at-speriti-solutions-4311884809?position=39&pageNum=0&refId=7Kft1vvwO1bLpIaF6EOMFw%3D%3D&trackingId=Nl0fxkqr%2Fn5keIwT15t67Q%3D%3D	Software	Amsterdam	20251009	2025-10-09 20:32:25.749+02	2
4186	Nets søger en Partner Account Manager i København	9 hours ago — At Nexi, we're not just building partnerships—we're revolutionizing how payment solutions integrate into the software that powers businesses across Europe. As ...	https://dk.linkedin.com/jobs/view/partner-account-manager-at-nets-4311550500	Software	Amsterdam	20251009	2025-10-09 20:32:25.749+02	3
4187	Caterpillar Inc. hiring IT Analyst Applications in Chennai ...	11 hours ago — Amsterdam Area 16 hours ago. Data Analyst. Data Analyst. Schwing Stetter India ... Software Engineer(L1). Saptang Labs. Chennai, Tamil Nadu, India ₹400,000 ...	https://in.linkedin.com/jobs/view/it-analyst-applications-at-caterpillar-inc-4312552242	Software	Amsterdam	20251009	2025-10-09 20:32:25.749+02	4
4190	Wasserman hiring Client Executive, Golf in London ...	9 hours ago — Headquartered in Los Angeles, Wasserman's presence spans 28 countries and more than 70 cities, including New York, London, Abu Dhabi, Amsterdam ... Software ...	https://uk.linkedin.com/jobs/view/client-executive-golf-at-wasserman-4311875446	Software	Amsterdam	20251009	2025-10-09 20:32:25.749+02	5
4185	Tax Expert - Onsite - 2+ Yrs Paid Tax Experience Required	8 hours ago — You will leverage your tax expertise to provide full service tax return preparation, tax advice, calculations, and software/product support. ... Get notified ...	https://www.linkedin.com/jobs/view/tax-expert-onsite-2%2B-yrs-paid-tax-experience-required-at-intuit-4311884494	Software	Amsterdam	20251009	2025-10-09 20:32:25.748+02	6
4181	C++ Developer - Amsterdam / London- Global Prop Fund	6 hours ago — Salary: £150-500k. World-leading prop fund is looking for C++ developers to join their rapidly expanding team in London and Amsterdam.	https://uk.linkedin.com/jobs/view/c%2B%2B-developer-amsterdam-london-global-prop-fund-at-jobs-via-efinancialcareers-4312599038	Software	Amsterdam	20251009	2025-10-09 20:32:25.748+02	7
4182	Next Ventures hiring Senior SailPoint Test Analyst ...	8 hours ago — Job Title: MULTIPLE Senior SailPoint Test Analysts. Location: Brussels OR Amsterdam ... Junior Software Test Engineer. targetjobs UK. London, England, United ...	https://uk.linkedin.com/jobs/view/senior-sailpoint-test-analyst-at-next-ventures-4309944656	Software	Amsterdam	20251009	2025-10-09 20:32:25.748+02	8
4183	Assessio hiring Website Developer in Tallinn, Harjumaa ...	5 hours ago — Seniority level. Mid-Senior level · Employment type. Full-time · Job function. Engineering and Information Technology · Industries. Software Development.	https://ee.linkedin.com/jobs/view/website-developer-at-assessio-4305752999?refId=mhUyKpaGSqgcj%2Bs%2FzzOZ2g%3D%3D&trackingId=pk%2BkTsArlqzPmX5loXLXYQ%3D%3D&position=17&pageNum=0	Software	Amsterdam	20251009	2025-10-09 20:32:25.748+02	9
4184	Wasserman hiring IT Service Desk - 1st Line Support in ...	3 hours ago — Take initial telephone or email inquiries and troubleshooting and manage hardware, software or network problems · Log call / walk-up activity · Range of ...	https://uk.linkedin.com/jobs/view/it-service-desk-1st-line-support-at-wasserman-4299793809	Software	Amsterdam	20251009	2025-10-09 20:32:25.748+02	10
5026	Intelix.AI hiring Workday Lead in London Area, United ...	9 hours ago — Human Resources Information System Analyst · HR Systems Specialist (HRIS), London, Birmingham or Amsterdam · Human Resources Information System Specialist · HR ...	https://uk.linkedin.com/jobs/view/workday-lead-at-intelix-ai-4311875302	Support	Amsterdam	20251009	2025-10-09 20:32:11.189+02	11
5024	Finance Specialist - Morgan McKinley	5 hours ago — You will maintain accurate financial records for audit purposes, support internal and external audits, and ensure compliance with business and SOX controls.	https://uk.linkedin.com/jobs/view/finance-specialist-at-morgan-mckinley-4312154049	Support	Amsterdam	20251009	2025-10-09 20:32:11.189+02	12
5023	C++ Developer - Amsterdam / London- Global Prop Fund	6 hours ago — Salary: £150-500k. World-leading prop fund is looking for C++ developers to join their rapidly expanding team in London and Amsterdam.	https://uk.linkedin.com/jobs/view/c%2B%2B-developer-amsterdam-london-global-prop-fund-at-jobs-via-efinancialcareers-4312599038	Support	Amsterdam	20251009	2025-10-09 20:32:11.189+02	13
